Id,Class
sad_0358,3
amusement_0726,4
amusement_0736,4
anger_0005,0
awe_0597,5
contentment_0073,6
anger_0256,0
contentment_0091,6
fear_0949,2
sad_0299,3
excitement_0244,7
sad_0643,3
awe_0860,5
contentment_0069,6
amusement_0516,4
fear_0929,2
sad_0371,3
fear_0911,2
amusement_0749,4
sad_0410,3
sad_0620,3
excitement_0229,7
awe_0831,5
excitement_0173,7
awe_0858,5
amusement_0488,4
sad_0326,3
disgust_0892,1
disgust_0787,1
amusement_0753,4
sad_0368,3
contentment_0065,6
disgust_0766,1
awe_0589,5
fear_0935,2
anger_0027,0
anger_0274,0
sad_0635,3
excitement_0251,7
contentment_0128,6
excitement_0265,7
contentment_0101,6
excitement_0178,7
awe_0599,5
excitement_0190,7
sad_0398,3
contentment_0090,6
disgust_0898,1
fear_0922,2
amusement_0528,4
disgust_0796,1
excitement_0255,7
awe_0867,5
fear_0694,2
excitement_0201,7
anger_0801,0
awe_0872,5
sad_0356,3
anger_0257,0
excitement_0161,7
disgust_0809,1
amusement_0755,4
anger_0006,0
fear_0926,2
anger_0250,0
sad_0453,3
contentment_0124,6
awe_0850,5
amusement_0501,4
sad_0621,3
awe_0827,5
disgust_0785,1
excitement_0198,7
contentment_0064,6
fear_0702,2
sad_0419,3
sad_0646,3
excitement_0214,7
excitement_0170,7
sad_0415,3
fear_0945,2
disgust_0900,1
anger_0263,0
sad_0348,3
amusement_0535,4
fear_0672,2
fear_0697,2
amusement_0538,4
anger_0009,0
fear_0969,2
sad_0417,3
awe_0061,5
anger_0806,0
amusement_0533,4
excitement_0239,7
sad_0454,3
sad_0306,3
fear_0921,2
excitement_0192,7
disgust_0772,1
fear_0685,2
sad_0342,3
awe_0874,5
awe_0039,5
sad_0313,3
excitement_0184,7
amusement_0722,4
sad_0325,3
amusement_0527,4
disgust_0895,1
fear_0703,2
excitement_0225,7
fear_0668,2
excitement_0167,7
sad_0409,3
sad_0638,3
amusement_0504,4
fear_0712,2
awe_0052,5
fear_0909,2
fear_0938,2
sad_0345,3
fear_0916,2
awe_0590,5
sad_0341,3
sad_0451,3
amusement_0512,4
contentment_0071,6
sad_0631,3
sad_0629,3
sad_0364,3
sad_0307,3
sad_0461,3
anger_0266,0
sad_0465,3
fear_0948,2
amusement_0540,4
anger_0807,0
contentment_0077,6
excitement_0257,7
contentment_0092,6
fear_0942,2
sad_0424,3
fear_0958,2
amusement_0715,4
sad_0446,3
disgust_0765,1
anger_0031,0
fear_0910,2
excitement_0252,7
amusement_0541,4
excitement_0191,7
anger_0251,0
anger_0816,0
fear_0967,2
amusement_0524,4
sad_0411,3
fear_0962,2
amusement_0520,4
sad_0361,3
sad_0359,3
anger_0270,0
disgust_0790,1
sad_0644,3
anger_0023,0
anger_0814,0
contentment_0104,6
anger_0271,0
disgust_0767,1
awe_0873,5
anger_0823,0
amusement_0737,4
fear_0711,2
sad_0367,3
excitement_0266,7
fear_0708,2
awe_0866,5
sad_0303,3
awe_0059,5
sad_0391,3
awe_0588,5
fear_0960,2
anger_0025,0
excitement_0264,7
sad_0628,3
fear_0925,2
anger_0001,0
excitement_0237,7
