Id,Class
circle0,0
circle1,0
circle2,0
circle3,0
circle4,0
circle5,0
circle6,0
circle7,0
circle8,0
circle9,0
circle10,0
circle11,0
circle12,0
circle13,0
circle14,0
circle15,0
circle16,0
circle17,0
circle18,0
circle19,0
circle20,0
circle21,0
circle22,0
circle23,0
circle24,0
circle25,0
circle26,0
circle27,0
circle28,0
circle29,0
circle30,0
circle31,0
circle32,0
circle33,0
circle34,0
circle35,0
circle36,0
circle37,0
circle38,0
circle39,0
circle40,0
circle41,0
circle42,0
circle43,0
circle44,0
circle45,0
circle46,0
circle47,0
circle48,0
circle49,0
circle50,0
circle51,0
circle52,0
circle53,0
circle54,0
circle55,0
circle56,0
circle57,0
circle58,0
circle59,0
circle60,0
circle61,0
circle62,0
circle63,0
circle64,0
circle65,0
circle66,0
circle67,0
circle68,0
circle69,0
circle70,0
circle71,0
circle72,0
circle73,0
circle74,0
circle75,0
circle76,0
circle77,0
circle78,0
circle79,0
circle80,0
circle81,0
circle82,0
circle83,0
circle84,0
circle85,0
circle86,0
circle87,0
circle88,0
circle89,0
circle90,0
circle91,0
circle92,0
circle93,0
circle94,0
circle95,0
circle96,0
circle97,0
circle98,0
circle99,0
circle100,0
circle101,0
circle102,0
circle103,0
circle104,0
circle105,0
circle106,0
circle107,0
circle108,0
circle109,0
circle110,0
circle111,0
circle112,0
circle113,0
circle114,0
circle115,0
circle116,0
circle117,0
circle118,0
circle119,0
circle120,0
circle121,0
circle122,0
circle123,0
circle124,0
circle125,0
circle126,0
circle127,0
circle128,0
circle129,0
circle130,0
circle131,0
circle132,0
circle133,0
circle134,0
circle135,0
circle136,0
circle137,0
circle138,0
circle139,0
circle140,0
circle141,0
circle142,0
circle143,0
circle144,0
circle145,0
circle146,0
circle147,0
circle148,0
circle149,0
circle150,0
circle151,0
circle152,0
circle153,0
circle154,0
circle155,0
circle156,0
circle157,0
circle158,0
circle159,0
circle160,0
circle161,0
circle162,0
circle163,0
circle164,0
circle165,0
circle166,0
circle167,0
circle168,0
circle169,0
circle170,0
circle171,0
circle172,0
circle173,0
circle174,0
circle175,0
circle176,0
circle177,0
circle178,0
circle179,0
circle180,0
circle181,0
circle182,0
circle183,0
circle184,0
circle185,0
circle186,0
circle187,0
circle188,0
circle189,0
circle190,0
circle191,0
circle192,0
circle193,0
circle194,0
circle195,0
circle196,0
circle197,0
circle198,0
circle199,0
cross0,1
cross1,1
cross2,1
cross3,1
cross4,1
cross5,1
cross6,1
cross7,1
cross8,1
cross9,1
cross10,1
cross11,1
cross12,1
cross13,1
cross14,1
cross15,1
cross16,1
cross17,1
cross18,1
