Id,Class
mnist_0_1,0
mnist_0_10,0
mnist_0_100,0
mnist_0_11,0
mnist_0_12,0
mnist_0_13,0
mnist_0_14,0
mnist_0_15,0
mnist_0_16,0
mnist_0_17,0
mnist_0_18,0
mnist_0_19,0
mnist_0_2,0
mnist_0_20,0
mnist_0_21,0
mnist_0_22,0
mnist_0_23,0
mnist_0_24,0
mnist_0_25,0
mnist_0_26,0
mnist_0_27,0
mnist_0_28,0
mnist_0_29,0
mnist_0_3,0
mnist_0_30,0
mnist_0_31,0
mnist_0_32,0
mnist_0_33,0
mnist_0_34,0
mnist_0_35,0
mnist_0_36,0
mnist_0_37,0
mnist_0_38,0
mnist_0_39,0
mnist_0_4,0
mnist_0_40,0
mnist_0_41,0
mnist_0_42,0
mnist_0_43,0
mnist_0_44,0
mnist_0_45,0
mnist_0_46,0
mnist_0_47,0
mnist_0_48,0
mnist_0_49,0
mnist_0_5,0
mnist_0_50,0
mnist_0_51,0
mnist_0_52,0
mnist_0_53,0
mnist_0_54,0
mnist_0_55,0
mnist_0_56,0
mnist_0_57,0
mnist_0_58,0
mnist_0_59,0
mnist_0_6,0
mnist_0_60,0
mnist_0_61,0
mnist_0_62,0
mnist_0_63,0
mnist_0_64,0
mnist_0_65,0
mnist_0_66,0
mnist_0_67,0
mnist_0_68,0
mnist_0_69,0
mnist_0_7,0
mnist_0_70,0
mnist_0_71,0
mnist_0_72,0
mnist_0_73,0
mnist_0_74,0
mnist_0_75,0
mnist_0_76,0
mnist_0_77,0
mnist_0_78,0
mnist_0_79,0
mnist_0_8,0
mnist_0_80,0
mnist_0_81,0
mnist_0_82,0
mnist_0_83,0
mnist_0_84,0
mnist_0_85,0
mnist_0_86,0
mnist_0_87,0
mnist_0_88,0
mnist_0_89,0
mnist_0_9,0
mnist_0_90,0
mnist_0_91,0
mnist_0_92,0
mnist_0_93,0
mnist_0_94,0
mnist_0_95,0
mnist_0_96,0
mnist_0_97,0
mnist_0_98,0
mnist_0_99,0
mnist_1_1,1
mnist_1_10,1
mnist_1_100,1
mnist_1_11,1
mnist_1_12,1
mnist_1_13,1
mnist_1_14,1
mnist_1_15,1
mnist_1_16,1
mnist_1_17,1
mnist_1_18,1
mnist_1_19,1
mnist_1_2,1
mnist_1_20,1
mnist_1_21,1
mnist_1_22,1
mnist_1_23,1
mnist_1_24,1
mnist_1_25,1
mnist_1_26,1
mnist_1_27,1
mnist_1_28,1
mnist_1_29,1
mnist_1_3,1
mnist_1_30,1
mnist_1_31,1
mnist_1_32,1
mnist_1_33,1
mnist_1_34,1
mnist_1_35,1
mnist_1_36,1
mnist_1_37,1
mnist_1_38,1
mnist_1_39,1
mnist_1_4,1
mnist_1_40,1
mnist_1_41,1
mnist_1_42,1
mnist_1_43,1
mnist_1_44,1
mnist_1_45,1
mnist_1_46,1
mnist_1_47,1
mnist_1_48,1
mnist_1_49,1
mnist_1_5,1
mnist_1_50,1
mnist_1_51,1
mnist_1_52,1
mnist_1_53,1
mnist_1_54,1
mnist_1_55,1
mnist_1_56,1
mnist_1_57,1
mnist_1_58,1
mnist_1_59,1
mnist_1_6,1
mnist_1_60,1
mnist_1_61,1
mnist_1_62,1
mnist_1_63,1
mnist_1_64,1
mnist_1_65,1
mnist_1_66,1
mnist_1_67,1
mnist_1_68,1
mnist_1_69,1
